科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
體育（二）,9021002,25班,55,[資工系],[1],[A],[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[B],0,一次篩選,不支援,0,無,支援資工系一年級A班.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能 &nbsp
體育（二）,9021002,26班,55,[資工系],[1],[B],[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A],0,一次篩選,不支援,0,無,支援資工系一年級B班.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能 &nbsp
體育（二）,9021002,27班,55,[會資系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],所有班級,0,一次篩選,不支援,0,無,支援會資系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能 &nbsp
體育（二）,9021002,28班,55,[資管系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[2][3][4],所有班級,0,一次篩選,不支援,0,無,支援資管系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能 &nbsp
體育（二）,9021002,29班,55,[成教系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][犯防系][運競系],[1][2][3][4],所有班級,0,一次篩選,不支援,0,無,支援成教系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（二）,9021002,30班,55,[數學系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[2][3][4],所有班級,0,一次篩選,不支援,0,無,支援數學系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（二）,9021002,31班,55,[物理系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[2][3][4],所有班級,0,一次篩選,不支援,0,無,支援物理系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（二）,9021002,32班,55,[化暨生化系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],所有班級,0,一次篩選,不支援,0,無,支援化暨生化系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（二）,9021002,33班,55,[地環系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],所有班級,0,一次篩選,不支援,0,無,支援地環系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（二）,9021002,34班,55,[生科系][生醫系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],所有班級,0,一次篩選,不支援,0,無,支援生醫系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（二）,9021002,35班,55,[通訊系],[1],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][電機系][機械系][化工系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],所有班級,0,一次篩選,不支援,0,無,支援通訊系一年級.1.大一隨班上課，限本系(班)生修，不得跑班 2.大一必修科目：游泳、體適能. &nbsp
體育（特別班二）,9021092,01班,20,所有系所,[1],所有班別,所有系所,[2][3][4],所有班級,0,一次篩選,不支援,0,無,1.本班為身體不適劇烈運動者憑醫師證明始得選修；非屬本班上課對象者，請勿選修2.第一堂課於體育館第一會議室門口集合，之後由教師於課堂上說明上課地點；缺課不知上課地點者，請自行詢問上課同學。 &nbsp
體育：羽球（二）,9022202,01班,50,[資工系][會資系][資管系][犯防系],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資所][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援資工系A、資工系B、會資系、資管系、犯防系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：羽球（二）,9022202,02班,50,[財金系][企管系],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金所][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援財金系A、B班、企管系A、B班二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：羽球（二）,9022202,03班,50,[地環系][社福系][心理系][勞工系][傳播系][化工系],[2],所有班別,[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福所][心理所][勞工所][勞工所碩士班][政治系][政治所][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械系][機械所][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援地環系、社福系、心理系、勞工系、傳播系、化工系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：羽球（二）,9022202,04班,50,[數學系][化暨生化系][電機系][經濟學系][法學組][法制組],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][管理學院學士班][管理學院碩士班][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援數學系、化暨生化系、電機系、經濟學系、法學組、法制組二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：羽球（二）,9022202,05班,50,[外文系][物理系][生醫系][政治系][機械系][通訊系],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械所][化工系][化工所][通訊所][光機電所][前瞻製造系統碩/博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援外文系、生醫、物理系、政治系、機械系AB班、通訊系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：羽球（二）,9022202,06班,50,所有系所,[2],所有班別,所有系所,[1][3][4],所有班級,0,一次篩選,不支援,0,無,限本校二年級學生修課.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.本班課程支援大二所有學系；體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：羽球（二）,9022202,07班,50,[中文系][歷史系][哲學系][財法系][成教系],[2],[A][B],[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援中文系、歷史系、哲學系、財法系、成教系二年級.限本系生修1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：網球（二）,9022204,01班,45,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[2][3][4],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1],所有班級,0,一次篩選,不支援,0,無,限本校二年級學生修課.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.本班課程支援大二所有學系；體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：網球（二）,9022204,02班,45,[地環系][社福系][心理系][勞工系][傳播系][化工系],[2],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][生科系][生醫系][化暨生化系][社會科學院學士班][政治系][工學院學士班][資工系][電機系][機械系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][3][4],所有班級,0,一次篩選,不支援,0,無,限地環系、社福系、心理系、勞工系、傳播系、化工系本系生修課.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.本班課程支援大二所有學系；體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：籃球（二）,9022206,01班,50,[資工系][會資系][資管系][犯防系],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工所][電機系][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援資工系A班、資工B班、會資系、資管系、犯防系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：籃球（二）,9022206,02班,50,所有系所,[2],[A][B],[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][3][4],所有班級,0,一次篩選,不支援,0,無,限本校大二學生修課。1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：籃球（二）,9022206,03班,50,[地環系][社福系][心理系][勞工系][傳播系][化工系],[2],所有班別,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][生科系][生醫系][化暨生化系][社會科學院學士班][政治系][工學院學士班][資工系][電機系][機械系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援地環系、心理系、社福系、勞工系、傳播系、化工系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：籃球（二）,9022206,04班,50,[數學系][化暨生化系][電機系][經濟學系][法學組][法制組],[2],[A][B],[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][物理系][地環系][生科系][生醫系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][財金系][企管系][會資系][資管系][法學院學士班][法律系][財法系][教育學院學士班][成教系][犯防系][運競系],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援數學系、化生系、電機系、法學組、法制組、經濟系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：排球（二）,9022208,01班,50,[數學系][化暨生化系][電機系][經濟學系][法學組][法制組],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文系][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][應數所][應數所][地震所][地震所][物理系][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治系][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機所][機械系][機械所][化工系][化工所][通訊系][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][管理學院學士班][管理學院碩士班][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援數學系、化生班、電機系、法學組、法制組、經濟系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
體育：排球（二）,9022208,02班,50,[外文系][物理系][生醫系][政治系][機械系][通訊系],[2],[A][B],[文學院學士班][文學院碩士班][中文系][中文所][外文所][歷史系][歷史所][哲學系][哲學所][語言所][語言所語言學組][語言所華語教學研究組][英語教學所][英語教學所][台文創應所][理學院學士班][理學院碩士班][數學系][應數所][應數所][地震所][地震所][物理所][統科所][統科所][地環系][應地環所][應地環所][地環所][數學所][分子生物所][分生所][生科系][生醫所][化暨生化系][化暨生化所][社會科學院學士班][社會科學院碩士班][社福系][社福所][心理系][心理所][勞工系][勞工所][勞工所碩士班][政治所][傳播系][電傳所][電傳所碩士班][戰略所][臨床心理所][臨床心理所碩士班][認知科學博士學位學程][工學院學士班][工學院碩士班][資工系][資工所][電機系][電機所][機械所][化工系][化工所][通訊所][光機電所][前瞻製造系統碩/博士學位學程][前瞻製造系統博士學位學程][管理學院學士班][管理學院碩士班][經濟學系][國經所][國經所][財金系][財金所][企管系][企管所][會資系][會資所][資管系][資管所][國際財管碩士學位學程][行銷管理所][行銷管理所][醫療資訊管理所][醫管所][法學院學士班][法學院碩士班][法律系][法律所][法學組][法制組][財法系][財法所][教育學院學士班][教育學院碩士班][成教系][成教所][教育所][課研所][教育所][犯防系][犯防所][師培中心][休閒教育所][運競系][運休所][課研所][教育領導碩士學位學程][高齡教育所][高齡教育所][體育中心][通識中心][軍訓][語言中心],[1][3][4],所有班級,0,一次篩選,不支援,0,無,支援生醫系、物理系、機械系、通訊系、外文系、政治系二年級.限本系生修.1.學士班一、二年級學生修習體育課須依規定每學期選課，如須重修(補修)者必須選修原年級原學期之體育課程。選修課(大三/大四體育課)不得抵免必修課(大一/大二體育課)。 2.體育課程選修人數以選課系統公告為主，如有特殊情況應先經體育中心教學活動組審核同意後，再送任課教師同意後簽章，始得加選。 &nbsp
