科目,代碼,班別,限修人數,支援系所,支援年級,支援班別,擋修系所,擋修年級,擋修班別,保留本系名額,篩選原則,支援通識科目,支援通識人數,先修科目,其他備註
進階資料庫系統,4105506,01班,24,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
雲端計算,4105508,01班,40,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
超大型積體電路系統設計概論,4105559,01班,40,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
數位積體電路設計,4105566,01班,40,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
低功耗應用處理器設計,4105571,01班,10,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
可程式化硬體設計,4105594,01班,10,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
醫療電子臨床導入,4105597,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
醫學影像專題,4105601,01班,20,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
計算機結構,4105700,01班,120,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
高等作業系統,4105729,01班,24,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
嵌入式計算系統,4105797,01班,70,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][電機系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,碩博合開,不支援,0,無
高通量定序資料之生物資訊分析技術,4105926,01班,65,無,無,無,無,無,無,0,一次篩選,碩博合開,不支援,0,無
機器學習,4105931,01班,無,無,無,無,無,無,無,0,不需篩選,碩博合開,不支援,0,無
程式設計,4151008,01班,60,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,限電機系學生選修，與通訊系併班上課。「程式設計」課程屬正課需搭配「程式設計實習」實驗課，請修課同學注意：選修01班正課同學務必選修01班實習課。選修02班正課同學務必選修02班實習課。 &nbsp
程式設計,4151008,02班,50,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,限電機系學生選修，與通訊系併班上課。「程式設計」課程屬正課需搭配「程式設計實習」實驗課，請修課同學注意：選修01班正課同學務必選修01班實習課。選修02班正課同學務必選修02班實習課。 &nbsp
程式設計實習,4151010,01班,50,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,限電機系學生選修，與通訊系併班上課。「程式設計」課程屬正課需搭配「程式設計實習」實驗課，請修課同學注意：選修01班正課同學務必選修01班實習課。選修02班正課同學務必選修02班實習課。 &nbsp
程式設計實習,4151010,02班,20,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,限電機系學生選修，與通訊系併班上課。「程式設計」課程屬正課需搭配「程式設計實習」實驗課，請修課同學注意：選修01班正課同學務必選修01班實習課。選修02班正課同學務必選修02班實習課。 &nbsp
線性代數,4151011,01班,85,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,無 &nbsp
電路學（二）,4152005,01班,60,無,無,無,無,無,無,0,一次篩選,不支援,0,無,與通訊系併班上課。 &nbsp
電子學（二）,4152007,01班,130,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,與通訊系併班上課。 &nbsp
電磁學（一）,4152008,01班,50,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],[1][2][3][4],[A][B],0,一次篩選,不支援,0,無,與通訊系併班上課。 &nbsp
電磁學（一）,4152008,02班,50,無,無,無,[文學院學士班][中文系][外文系][歷史系][哲學系][理學院學士班][數學系][物理系][地環系][生科系][生醫系][化暨生化系][社會科學院學士班][社福系][心理系][勞工系][政治系][傳播系][工學院學士班][資工系][機械系][化工系][通訊系][管理學院學士班][經濟學系][財金系][企管系][會資系][資管系][法學院學士班][法律系][法學組][法制組][財法系][教育學院學士班][成教系][犯防系][運競系],所有年級,所有班級,0,一次篩選,不支援,0,無,與通訊系併班上課。 &nbsp
