學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,開課學制,課程大綱,備註
教育學院,運動與休閒教育研究所,1,3905131,01,運動生理學專題研究Special Topics in Exercise Physiology ,運動生理學專題研究,Special Topics in Exercise Physiology ,何承訓 ,2,2/0/0,2,選修," 五8,9",運動科學教育研究室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905131_01,上課教室編號為運106教室
教育學院,運動與休閒教育研究所,1,3905133,01,運動技術分析專題研究Special Topics in Sports Skill ,運動技術分析專題研究,Special Topics in Sports Skill ,王順正 ,2,2/0/0,2,選修," 四8,9",運技系104室,40,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905133_01,
教育學院,運動與休閒教育研究所,1,3905341,01,休閒治療研究Therapeutic Recreation ,休閒治療研究,Therapeutic Recreation ,許文蔚 ,2,2/0/0,2,選修," 二8,9",運技系104室,40,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905341_01,
教育學院,運動與休閒教育研究所,1,3905507,01,休閒活動與老年Leisure and Aging ,休閒活動與老年,Leisure and Aging ,王秀華 ,2,2/0/0,2,選修," 三4,5",運技系107室,30,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905507_01,
教育學院,運動與休閒教育研究所,1,3905551,01,進階統計Advanced Statistics ,進階統計,Advanced Statistics ,陳永洲 ,2,2/0/0,2,選修," 四2,3",運技系107室,30,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3905551_01,
教育學院,課程與教學碩士班、課程博士班,1,3915012,01,教育行動研究Educational Action Research ,教育行動研究,Educational Action Research ,蔡清田 ,2,2/0/0,2,選修," 三2,3",教育館507,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915012_01,
教育學院,課程與教學碩士班、課程博士班,1,3915016,01,閱讀歷程與教學研究Research on Reading Processes and Instruction ,閱讀歷程與教學研究,Research on Reading Processes and Instruction ,連啟舜 ,2,2/0/0,2,選修," 三4,5",教育館507,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915016_01,
教育學院,課程與教學碩士班、課程博士班,1,3915026,01,教育研究法：質的取向Qualitative Research Methods of Education ,教育研究法：質的取向,Qualitative Research Methods of Education ,林麗菊 ,2,2/0/0,2,選修," 三10,11",教育館405,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915026_01,
教育學院,課程與教學碩士班、課程博士班,1,3915039,01,課程評鑑研究Research on Curriculum Evaluation ,課程評鑑研究,Research on Curriculum Evaluation ,林永豐 ,2,2/0/0,2,選修," 二2,3",教育館507,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915039_01,
教育學院,課程與教學碩士班、課程博士班,1,3915047,01,弱勢學生與教育研究Current Issues on Disadvantaged Students and Schooling ,弱勢學生與教育研究,Current Issues on Disadvantaged Students and Schooling ,鄭勝耀 ,2,2/0/0,2,選修," 四2,3",教育館405,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915047_01,
教育學院,課程與教學碩士班、課程博士班,1,3915105,01,獨立研究：教學與學習（一）Independent Studies: Teaching and Learning(I) ,獨立研究：教學與學習（一）,Independent Studies: Teaching and Learning(I) ,陳姚真 ,1,1/0/0,1,選修, 三7,教授研究室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915105_01,
教育學院,課程與教學碩士班、課程博士班,1,3915136,01,獨立研究：閱讀歷程與教學(一)Independent Studies: Reading Processes and Instruction ,獨立研究：閱讀歷程與教學(一),Independent Studies: Reading Processes and Instruction ,連啟舜 ,1,1/0/0,1,選修, 三7,教授研究室,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915136_01,
教育學院,課程與教學碩士班、課程博士班,1,3915141,01,教育人類學研究Educational Anthropology ,教育人類學研究,Educational Anthropology ,朱啟華 ,2,2/0/0,2,選修," 二4,5",教育二館437,0,碩士班課程,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3915141_01,
