學院,系所,年級,編號,班別,科目名稱,科目名稱_中文,科目名稱_英文,任課教授,上課時數,正課/實驗實習/書報討論,學分,選必,上課時間,上課地點,限修人數,課程大綱,備註
理學院,化學暨生物化學系,4,2604907,01,物理化學書報討論（二）Physical Chemistry Seminar (II) ,物理化學書報討論（二）,Physical Chemistry Seminar (II) ,胡維平 ,2,0/0/2,1,必修," 四8,9",化生系402,10,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2604907_01,先修科目(2601101)普通化學（一）(曾經修習) (2601102)普通化學（二）(曾經修習) (2602201)有機化學（一）(曾經修習) (2602202)有機化學（二）(曾經修習) (2602401)物理化學（一）(曾經修習) (2602411)化學數學（一）(曾經修習) (2602501)分析化學（一）(曾經修習) (2602502)分析化學（二）(曾經修習) (2603301)無機化學（一）(曾經修習) (2603302)無機化學（二）(曾經修習) (2603402)物理化學（二）(曾經修習) (2603403)物理化學（三）(曾經修習) (2603601)生物化學（一）(曾經修習) (所有先修條件都必須符合)限修10人
理學院,化學暨生物化學系,4,2604908,01,分析化學書報討論（二）Analytical Chemistry Seminar (II) ,分析化學書報討論（二）,Analytical Chemistry Seminar (II) ,陳彥伶 ,2,0/0/2,1,必修," 四8,9",化生系116,10,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_2604908_01,先修科目(2601101)普通化學（一）(曾經修習) (2601102)普通化學（二）(曾經修習) (2602201)有機化學（一）(曾經修習) (2602202)有機化學（二）(曾經修習) (2602401)物理化學（一）(曾經修習) (2602411)化學數學（一）(曾經修習) (2602501)分析化學（一）(曾經修習) (2602502)分析化學（二）(曾經修習) (2603301)無機化學（一）(曾經修習) (2603302)無機化學（二）(曾經修習) (2603402)物理化學（二）(曾經修習) (2603403)物理化學（三）(曾經修習) (2603601)生物化學（一）(曾經修習) (所有先修條件都必須符合)限修10人
社會科學學院,社會福利學系,1,3101022,01,社會學（二）Sociology (II) ,社會學（二）,Sociology (II) ,阮曉眉 ,3,3/0/0,3,必修," 一8,9,10",社科院229,72,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3101022_01,限本系生修.
社會科學學院,社會福利學系,1,3101024,01,經濟學（二）Economics (II) ,經濟學（二）,Economics (II) ,陳孝平 ,3,3/0/0,3,必修," 四E,F",社科院115,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3101024_01,先修科目(3101023)經濟學（一）(及格) 
社會科學學院,社會福利學系,1,3101034,01,社會福利概論（二）Social Welfare (II) ,社會福利概論（二）,Social Welfare (II) ,鄭讚源 ,3,3/0/0,3,必修," 三E,F",社科院119,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3101034_01,限本系生修.
社會科學學院,社會福利學系,1,3101035,01,社會工作概論Introduction to Social Work ,社會工作概論,Introduction to Social Work ,陳芳珮 ,3,3/0/0,3,選修," 一3,4,5",社科院125,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3101035_01,限本系生修.
社會科學學院,社會福利學系,1,3101051,01,社會心理學Social Psychology ,社會心理學,Social Psychology ,姚淑芬 ,3,3/0/0,3,選修," 三10,11,12",社科院360,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3101051_01,限本系生修.
社會科學學院,社會福利學系,2,3102016,01,社會問題Social Problems ,社會問題,Social Problems ,王舒芸 ,3,3/0/0,3,必修," 二E,F",社科院229,72,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3102016_01,
社會科學學院,社會福利學系,2,3102018,01,社會統計（二）Social Statistics (II) (程式設計相關/Programming related) ,社會統計（二） (程式設計相關),Social Statistics (II) (Programming related) ,施堯啟 ,3,3/0/0,3,必修," 一7,8,9",社科院327,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3102018_01,先修科目(3102017)社會統計（一）(及格) 限本系生修.先修條件:社會統計(一)(3102017)及格
社會科學學院,社會福利學系,2,3102024,01,政治學（二）Politics in the Welfare state (II) ,政治學（二）,Politics in the Welfare state (II) ,官有垣 ,3,3/0/0,3,必修," 二C,D",社科院360,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3102024_01,
社會科學學院,社會福利學系,2,3102053,01,社會個案工作Social Case Work ,社會個案工作,Social Case Work ,曾孆瑾 ,3,3/0/0,3,選修," 一B,C",社科院240,36,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3102053_01,"先修科目(3102010)人類行為與社會環境(及格) 限本系生修.限修36人,需先修人類行為與社會環境(3102010)及格"
社會科學學院,社會福利學系,2,3102152,01,社會工作管理Social Work Management ,社會工作管理,Social Work Management ,林辰穎 ,3,3/0/0,3,選修," 一12,13,14",社科院360,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3102152_01,限本系生修.
社會科學學院,社會福利學系,3,3102164,01,精神與智能障礙者的社區照顧Community Care for people with mental health conditions and/or developmental disabilities ,精神與智能障礙者的社區照顧,Community Care for people with mental health conditions and/or developmental disabilities ,陳芳珮 ,3,3/0/0,3,選修," 二C,D",社科院125,55,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3102164_01," ,列入司法與高齡者社會工作學士學分學程科目"
社會科學學院,社會福利學系,3,3103016,01,社會福利財政Financing Social Welfare ,社會福利財政,Financing Social Welfare ,鄭清霞 ,3,3/0/0,3,必修," 一C,D",社科院327,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3103016_01,
社會科學學院,社會福利學系,3,3103018,01,社會研究法（二）Social Research Method (II) ,社會研究法（二）,Social Research Method (II) ,王德睦 ,3,3/0/0,3,必修," 一8,9,10",社科院360,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3103018_01,限本系生修.
社會科學學院,社會福利學系,3,3103035,01,社會福利行政Social Welfare Administration ,社會福利行政,Social Welfare Administration ,官有垣 ,3,3/0/0,3,必修," 三G,H",社科院327,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3103035_01,限本系生修.
社會科學學院,社會福利學系,3,3103042,01,社會不均Social Inequality ,社會不均,Social Inequality ,陳昭榮 ,3,3/0/0,3,必修," 三E,F",社科院327,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3103042_01,
社會科學學院,社會福利學系,3,3103105,01,貧窮與社會政策Poverty and Social Policy ,貧窮與社會政策,Poverty and Social Policy ,王德睦 ,3,3/0/0,3,選修," 二C,D",社科院327,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3103105_01,
社會科學學院,社會福利學系,4,3104058,01,福利國家發展Development of Welfare State ,福利國家發展,Development of Welfare State ,吳明儒 ,3,3/0/0,3,必修," 二E,F",社科院327,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3104058_01,
社會科學學院,社會福利學系,4,3104064,01,"公益創投、共享經濟與社會企業Venture Philanthropy, Sharing Economy, and Social Enterprise ",公益創投、共享經濟與社會企業,"Venture Philanthropy, Sharing Economy, and Social Enterprise ",鄭讚源 ,3,3/0/0,3,選修," 四C,D",社科院115,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3104064_01,
社會科學學院,心理學系,1,3151002,01,普通心理學（二）General Psychology (II) ,普通心理學（二）,General Psychology (II) ,姜定宇 ,3,3/0/0,3,必修," 二7,8,9",社科院127,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3151002_01,
社會科學學院,心理學系,1,3151004,01,心理及教育統計學（二）Statistics for Psychology and Education (II) (程式設計相關/Programming related) ,心理及教育統計學（二） (程式設計相關),Statistics for Psychology and Education (II) (Programming related) ,蘇雅蕙 ,3,3/0/0,3,必修," 三E,F",社科院423,50,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3151004_01,先修科目(3151003)心理及教育統計學（一）(及格) ，大一奇數號優先。
社會科學學院,心理學系,1,3151004,02,心理及教育統計學（二）Statistics for Psychology and Education (II) (程式設計相關/Programming related) ,心理及教育統計學（二） (程式設計相關),Statistics for Psychology and Education (II) (Programming related) ,陳淑英 ,3,3/0/0,3,必修," 三E,F",社科院127,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3151004_02,先修科目(3151003)心理及教育統計學（一）(及格) 
社會科學學院,心理學系,1,3151910,01,心理學閱讀技巧Reading Skill in Psychology ,心理學閱讀技巧,Reading Skill in Psychology ,王豐彬 ,2,2/0/0,2,選修," 一7,8",社科院127,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3151910_01,
社會科學學院,心理學系,2,3152013,01,資料分析Data Analysis (程式設計相關/Programming related) ,資料分析 (程式設計相關),Data Analysis (Programming related) ,陳淑英 ,3,3/0/0,3,選修," 四4,5,6",電算中心214教室,38,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3152013_01,"先修科目(3151003)心理及教育統計學（一）(及格) (3151004)心理及教育統計學（二）(及格) (所有先修條件都必須符合) ,列入人力資源與組織心理學分學程科目 ,列入司法心理學士學分學程科目"
社會科學學院,心理學系,2,3152101,01,人類學習與認知Human Learning and Cognition ,人類學習與認知,Human Learning and Cognition ,李玉琇 ,3,3/0/0,3,必修," 二E,F",社科院423,80,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3152101_01," ,列入認知科學學程科目"
社會科學學院,心理學系,2,3152103,01,人類學習與認知實驗Experiments in Human Learning and Cognition ,人類學習與認知實驗,Experiments in Human Learning and Cognition ,李玉琇 ,2,0/2/0,1,必修," 一10,11",社科院423,80,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3152103_01,
社會科學學院,心理學系,2,3152506,01,生理心理學（二）Physiological Psychology (II) ,生理心理學（二）,Physiological Psychology (II) ,李季湜 ,2,2/0/0,2,必修," 三4,5",社科院423,80,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3152506_01," ,列入組織工程學程科目 ,列入司法心理學士學分學程科目"
社會科學學院,心理學系,2,3152702,01,性格心理學Psychology of Personality ,性格心理學,Psychology of Personality ,許功餘 ,3,3/0/0,3,必修," 三E,F",社科院115,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3152702_01," ,列入人力資源與組織心理學分學程科目 ,列入前瞻高齡跨域創新學分學程科目 ,列入司法心理學士學分學程科目"
社會科學學院,心理學系,3,3153104,01,設計心理學Psychology and design ,設計心理學,Psychology and design ,廖敏如 ,3,3/0/0,3,選修," 三G,H",社科院423,80,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3153104_01,先修科目(3152101)人類學習與認知(及格) (3153121)知覺心理學(及格) (所有先修條件都必須符合)
社會科學學院,心理學系,3,3153302,01,青少年發展Development of Adolescents (全英語授課/English-taught)  ,青少年發展 (全英語授課),Development of Adolescents (English-taught)  ,沈玉玲 ,3,3/0/0,3,選修, 二G 四G,社科院430,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3153302_01," ,列入司法心理學士學分學程科目全英語授課"
社會科學學院,心理學系,3,3153311,01,情緒心理學The Psychology of Emotion ,情緒心理學,The Psychology of Emotion ,黃世琤 ,3,3/0/0,3,選修," 二C,D",社科院127,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3153311_01,
社會科學學院,心理學系,3,3153751,01,組織行為學Orgnizational Behavior ,組織行為學,Orgnizational Behavior ,姜定宇 ,3,3/0/0,3,選修," 三4,5,6",社科院127,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3153751_01," ,列入人力資源與組織心理學分學程科目"
社會科學學院,心理學系,3,3153921,01,心理學專題研究(二)Topical Research in Psychology(II) ,心理學專題研究(二),Topical Research in Psychology(II) ,李季湜 許功餘 陳欣進 ,3,3/0/0,3,選修," 五13,14,15",社科院407,25,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3153921_01,先修科目(3152004)心理學實驗法(及格) 
社會科學學院,心理學系,3,3153966,01,諮商技術Techniques of Counseling ,諮商技術,Techniques of Counseling ,張玉鈴 ,3,3/0/0,3,選修," 四3,4,5",社科院455,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3153966_01,先修科目(3153965)諮商理論(及格) (3153967)諮商理論(及格) (只要符合任一先修條件)限本系生修.心理系三年級以上，且已修過「諮商理論」課程通過者可修習。
社會科學學院,心理學系,4,3154502,01,睡眠管理Sleep management ,睡眠管理,Sleep management ,蔡玲玲 ,2,2/0/0,2,選修," 三4,5",社科院430,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3154502_01,"先修科目(3152505)生理心理學（一）(及格) (3152506)生理心理學（二）(及格) (3152500)生理學緒論(及格) (3152507)生理學（二）(及格) (3152508)生理學(一)(及格) (3151502)生理學（一）(及格) (3154503)生理學(一)(及格) (只要符合任一先修條件) ,列入人力資源與組織心理學分學程科目 ,列入前瞻高齡跨域創新學分學程科目 ,列入司法心理學士學分學程科目心理學系學士班高年級優先選課。"
社會科學學院,心理學系,4,3154524,01,行動通訊裝置APP寫作入門：在社會科學之應用 Introduction to APP Programming: Applications in Social Sciences ,行動通訊裝置,APP寫作入門：在社會科學之應用 Introduction to APP Programming: Applications in Social Sciences ,李季湜 ,3,3/0/0,3,選修," 一7,8,9",社科院407,25,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3154524_01,
社會科學學院,勞工關係學系,1,3201007,01,民法概論Introduction to Civil Law ,民法概論,Introduction to Civil Law ,李玉春 ,3,3/0/0,3,必修," 四4,5,6",社科院258,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3201007_01,
社會科學學院,勞工關係學系,1,3201023,01,人力資源管理Human Resource Management ,人力資源管理,Human Resource Management ,簡建忠 ,3,3/0/0,3,必修," 一7,8,9",社科院119,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3201023_01," ,列入管理經濟學程科目"
社會科學學院,勞工關係學系,1,3201025,01,勞動市場與就業專題討論Seminar on Labor Markets and Employments ,勞動市場與就業專題討論,Seminar on Labor Markets and Employments ,林淑慧 ,3,3/0/0,3,選修," 三7,8,9",社科院258,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3201025_01," ,列入前瞻高齡跨域創新學分學程科目"
社會科學學院,勞工關係學系,1,3201027,01,勞工關係實用英語Practical English in Labor Relations (全英語授課/English-taught)  ,勞工關係實用英語 (全英語授課),Practical English in Labor Relations (English-taught)  ,劉黃麗娟 ,3,3/0/0,3,選修," 一10,11,12",社科院328,32,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3201027_01," ,列入全球跨域全英語學分學程科目"
社會科學學院,勞工關係學系,2,3202004,01,勞動基準法Basic Labor Standards Law ,勞動基準法,Basic Labor Standards Law ,楊通軒 ,3,3/0/0,3,必修," 五4,5,6",社科院109,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202004_01,
社會科學學院,勞工關係學系,2,3202030,01,勞工保險理論與實務Workers' Insurance Theory and Practices ,勞工保險理論與實務,Workers' Insurance Theory and Practices ,藍科正 ,3,3/0/0,3,選修," 一E,F",社科院326,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202030_01," ,列入人力資源與組織心理學分學程科目"
社會科學學院,勞工關係學系,2,3202031,01,就業安全理論與實務Theory and Practice of Employment Security ,就業安全理論與實務,Theory and Practice of Employment Security ,周玟琪 ,3,3/0/0,3,選修," 四4,5,6",社科院326,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202031_01,
社會科學學院,勞工關係學系,2,3202037,01,統計學Statistics ,統計學,Statistics ,王安祥 ,3,3/0/0,3,必修," 二7,8,9",社科院258,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202037_01," ,列入大數據與資料科學學程科目 ,列入財務經濟學程科目"
社會科學學院,勞工關係學系,2,3202039,01,總體經濟學Macroeconomics ,總體經濟學,Macroeconomics ,吳啟新 ,3,3/0/0,3,選修," 四7,8,9",社科院326,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202039_01,
社會科學學院,勞工關係學系,2,3202041,01,企業倫理Business Ethics ,企業倫理,Business Ethics ,陳勁初 ,3,3/0/0,3,選修," 五7,8,9",社科院326,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202041_01,
社會科學學院,勞工關係學系,2,3202046,01,工業與組織心理學Industrial and Organizational Psychology ,工業與組織心理學,Industrial and Organizational Psychology ,黃文柔 ,3,3/0/0,3,選修," 三4,5,6",社科院258,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202046_01,
社會科學學院,勞工關係學系,2,3202048,01,組織行為個案討論Organizational Behavior Case Study ,組織行為個案討論,Organizational Behavior Case Study ,黃文柔 ,3,3/0/0,3,選修," 二7,8,9",社科院509,41,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3202048_01,
社會科學學院,勞工關係學系,3,3203002,01,勞動經濟學Labor Economics ,勞動經濟學,Labor Economics ,吳啟新 ,3,3/0/0,3,必修," 五4,5,6",社科院258,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203002_01,
社會科學學院,勞工關係學系,3,3203029,01,薪資福利管理Managing  Compensation  and  Benefits  Systems ,薪資福利管理,Managing  Compensation  and  Benefits  Systems ,黃良志 ,3,3/0/0,3,選修," 三4,5,6",社科院326,60,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203029_01," ,列入人力資源與組織心理學分學程科目"
社會科學學院,勞工關係學系,3,3203033,01,勞工政策Labor  Policy ,勞工政策,Labor  Policy ,吳育仁 ,3,3/0/0,3,必修," 一4,5,6",社科院119,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203033_01,
社會科學學院,勞工關係學系,3,3203040,01,工會法Trade Union Law ,工會法,Trade Union Law ,楊通軒 ,3,3/0/0,3,選修," 四4,5,6",社科院109,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203040_01,
社會科學學院,勞工關係學系,3,3203043,01,國際勞工運動International Labour Movement ,國際勞工運動,International Labour Movement ,吳育仁 ,3,3/0/0,3,選修," 二4,5,6",社科院119,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203043_01,
社會科學學院,勞工關係學系,3,3203044,01,研究方法Research Methods ,研究方法,Research Methods ,馬財專 ,3,3/0/0,3,必修," 四7,8,9",社科院258,70,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203044_01,
社會科學學院,勞工關係學系,3,3203059,01,國際遷移與勞動人權International Migration and Workers' Rights ,國際遷移與勞動人權,International Migration and Workers' Rights ,劉黃麗娟 ,3,3/0/0,3,選修," 二4,5,6",社科院328,32,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3203059_01," ,列入東協與南亞法制學分學程科目"
社會科學學院,政治學系,1,3301021,01,研究報告寫作Term Papers Writing ,研究報告寫作,Term Papers Writing ,劉從葦 ,3,3/0/0,3,必修," 五7,8,9",社科院二館106,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301021_01,限本系生修.學士班必修
社會科學學院,政治學系,1,3301030,01,政治學（二）Introduction to Political Science (II) ,政治學（二）,Introduction to Political Science (II) ,李佩珊 ,3,3/0/0,3,必修," 二4,5 四3",社科院二館103,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301030_01," ,列入國際政治經濟學程科目學士班必修"
社會科學學院,政治學系,1,3301091,01,政治學英文名著選讀（二）Political Science Classics (II) ,政治學英文名著選讀（二）,Political Science Classics (II) ,李佩珊 ,2,2/0/0,2,必修," 二8,9",社科院二館103,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301091_01,大一必修
社會科學學院,政治學系,1,3301091,02,政治學英文名著選讀（二）Political Science Classics (II) (全英語授課/English-taught)  ,政治學英文名著選讀（二） (全英語授課),Political Science Classics (II) (English-taught)  ,蔡榮祥 ,2,2/0/0,2,必修," 二7,8",社科院二館102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301091_02,大一必修，全英語授課
社會科學學院,政治學系,1,3301130,01,社會學（二）Sociology (II) ,社會學（二）,Sociology (II) ,林平 ,2,2/0/0,2,必修," 四5,6",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301130_01,先修科目(3301100)社會學（一）(及格) 
社會科學學院,政治學系,1,3301140,01,經濟學（二）Economics (II) ,經濟學（二）,Economics (II) ,李翠萍 ,2,2/0/0,2,必修," 五2,3",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301140_01,大一必修
社會科學學院,政治學系,1,3301980,01,中國政治思想史History of Chinese Political Thought ,中國政治思想史,History of Chinese Political Thought ,魏楚陽 ,3,3/0/0,3,必修," 四7,8,9",社科院119,120,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3301980_01,大一必修
社會科學學院,政治學系,4,3302001,01,公民不服從Civil Disobedience ,公民不服從,Civil Disobedience ,陳尚志 ,2,2/0/0,2,選修," 五10,11",社科院二館701,30,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302001_01,列公民社會組專選
社會科學學院,政治學系,2,3302040,01,政治學方法論（二）Introduction to Political Methodology (II) ,政治學方法論（二）,Introduction to Political Methodology (II) ,李翠萍 林瓊珠 ,3,3/0/0,3,必修," 五7,8,9",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302040_01,大二必修
社會科學學院,政治學系,2,3302050,01,比較政府與政治（二）Comparative Governments and Politics (II) ,比較政府與政治（二）,Comparative Governments and Politics (II) ,林瓊珠 ,3,3/0/0,3,必修," 三7,8,9",社科院二館106,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302050_01,大二必修
社會科學學院,政治學系,2,3302060,01,國際關係（二）International Relations (II) ,國際關係（二）,International Relations (II) ,郭祐輑 ,3,3/0/0,3,必修," 三4,5,6",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302060_01,"限本系生修. ,列入國際政治經濟學程科目"
社會科學學院,政治學系,2,3302070,01,行政學（二）Public Administration (II) ,行政學（二）,Public Administration (II) ,蔡允棟 ,3,3/0/0,3,必修," 四7,8,9",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302070_01,大二必修
社會科學學院,政治學系,2,3302340,01,中國大陸政府與政治（二）Chinese Government and Politics (II) ,中國大陸政府與政治（二）,Chinese Government and Politics (II) ,蔡榮祥 ,2,2/0/0,2,選修," 二4,5",社科院二館102,40,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302340_01,比政、國關組專選二擇一
社會科學學院,政治學系,2,3302390,01,現代國際政治史Modern History of International Politics ,現代國際政治史,Modern History of International Politics ,藍玉春 ,3,3/0/0,3,選修," 二7,8,9",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302390_01,大學部國際關係專選
社會科學學院,政治學系,2,3302401,01,政治意識型態Political Ideologies ,政治意識型態,Political Ideologies ,陳尚志 ,2,2/0/0,2,選修," 四10,11",社科院二館802,10,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302401_01,各年級皆可選修，比政組、公民社會組專選二擇一
社會科學學院,政治學系,2,3302411,01,國際人權與女權Rights of Men and Rights of Women ,國際人權與女權,Rights of Men and Rights of Women ,藍玉春 ,3,3/0/0,3,選修," 四4,5,6",社科院二館701,30,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302411_01,國關組、公民社會組專選二擇一
社會科學學院,政治學系,2,3302940,01,公民教育Civic Education ,公民教育,Civic Education ,魏楚陽 ,2,2/0/0,2,選修," 三7,8",社科院二館709,20,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3302940_01,自由選修
社會科學學院,政治學系,3,3303002,01,發現東南亞Discovering Southeast Asia (全英語授課/English-taught)  ,發現東南亞 (全英語授課),Discovering Southeast Asia (English-taught)  ,林平 ,2,2/0/0,2,選修," 五2,3",社科院二館106,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303002_01," ,列入東協與南亞法制學分學程科目 ,列入全球跨域全英語學分學程科目自由選修，「全球跨域」、「東協與南亞」學分學程"
社會科學學院,政治學系,3,3303006,01,自由社會與自由市場Free Society and Free Market ,自由社會與自由市場,Free Society and Free Market ,郭祐輑 ,2,2/0/0,2,選修," 一10,11",社科院二館105,15,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303006_01,自由選修
社會科學學院,政治學系,3,3303023,01,政策分析policy analysis ,政策分析,policy analysis ,蔡允棟 ,2,2/0/0,2,選修," 四10,11",社科院二館106,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303023_01,公行組專選
社會科學學院,政治學系,3,3303024,01,公共治理與社會經典選讀The Classics of Public Governance and Society ,公共治理與社會經典選讀,The Classics of Public Governance and Society ,蔡允棟 ,2,2/0/0,2,選修," 三10,11",社科院二館106,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303024_01,公行組專選
社會科學學院,政治學系,3,3303030,01,政治學統計方法（二）Statistical Methods for Political Research (II) (程式設計相關/Programming related) ,政治學統計方法（二） (程式設計相關),Statistical Methods for Political Research (II) (Programming related) ,陳光輝 ,3,3/0/0,3,必修," 三4,5,6",電算中心214教室,38,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303030_01,大三必修
社會科學學院,政治學系,3,3303030,02,政治學統計方法（二）Statistical Methods for Political Research (II) (程式設計相關/Programming related) ,政治學統計方法（二） (程式設計相關),Statistical Methods for Political Research (II) (Programming related) ,陳光輝 ,3,3/0/0,3,必修," 三7,8,9",電算中心214教室,38,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303030_02,大三必修
社會科學學院,政治學系,3,3303502,01,公共人力資源管理Public Human Resource Management ,公共人力資源管理,Public Human Resource Management ,徐千偉 ,3,3/0/0,3,選修," 二4,5,6",社科院二館108,65,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303502_01,公行組專選
社會科學學院,政治學系,3,3303503,01,危機管理Crisis Management ,危機管理,Crisis Management ,蔡允棟 ,2,2/0/0,2,選修," 二10,11",社科院二館106,45,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303503_01,公行組專選
社會科學學院,政治學系,3,3303661,01,正義理論Political Theories of Justice ,正義理論,Political Theories of Justice ,魏楚陽 ,2,2/0/0,2,選修," 三10,11",社科院二館701,30,https://ecourse2.ccu.edu.tw/local/intro/course_intro.php?cour_no=109_2_3303661_01,公民社會組專選
